#
# Output factor table for 10MV-FFF (Kotka, TrueBeam SN:1219)
#
%VERSION 03
%DATE 01-05-2011
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
2,3,4,5,6,8,10,12,15,20,25,30,35,40
2,0.8741,0.8940,0.9020,0.9075,0.9097,0.9125,0.9135,0.9157,0.9158,0.9170,0.9193,0.9190,0.9195,0.9195
3,0.8964,0.9215,0.9317,0.9378,0.9408,0.9479,0.9503,0.9520,0.9537,0.9565,0.9553,0.9575,0.9569,0.9580
4,0.9062,0.9328,0.9460,0.9529,0.9564,0.9628,0.9642,0.9663,0.9671,0.9692,0.9721,0.9706,0.9702,0.9704
5,0.9105,0.9401,0.9544,0.9626,0.9661,0.9710,0.9749,0.9772,0.9784,0.9819,0.9842,0.9836,0.9834,0.9856
6,0.9142,0.9449,0.9595,0.9677,0.9729,0.9801,0.9840,0.9848,0.9852,0.9895,0.9905,0.9912,0.9928,0.9926
8,0.9179,0.9511,0.9638,0.9747,0.9801,0.9897,0.9940,0.9959,0.9990,1.0016,1.0035,1.0053,1.0074,1.0060
10,0.9205,0.9540,0.9679,0.9782,0.9875,0.9949,1.0000,1.0029,1.0066,1.0101,1.0150,1.0152,1.0158,1.0162
12,0.9226,0.9561,0.9706,0.9813,0.9903,0.9986,1.0051,1.0084,1.0144,1.0183,1.0208,1.0212,1.0220,1.0222
15,0.9240,0.9608,0.9731,0.9850,0.9928,1.0018,1.0084,1.0136,1.0177,1.0245,1.0257,1.0281,1.0300,1.0273
20,0.9252,0.9608,0.9772,0.9889,0.9957,1.0062,1.0142,1.0181,1.0232,1.0304,1.0326,1.0347,1.0372,1.0347
25,0.9272,0.9622,0.9770,0.9889,0.9977,1.0086,1.0160,1.0199,1.0269,1.0345,1.0364,1.0399,1.0401,1.0415
30,0.9292,0.9662,0.9790,0.9899,0.9986,1.0117,1.0177,1.0249,1.0306,1.0370,1.0419,1.0434,1.0431,1.0446
35,0.9301,0.9663,0.9795,0.9910,1.0004,1.0123,1.0189,1.0257,1.0314,1.0384,1.0440,1.0444,1.0466,1.0477
40,0.9297,0.9676,0.9792,0.9918,1.0021,1.0117,1.0193,1.0263,1.0314,1.0399,1.0436,1.0454,1.0454,1.0473
