#
# Output factor table for 15MV (Kotka, TrueBeam SN:1219)
#
%VERSION 03
%DATE 01-05-2011
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
2,3,4,5,6,8,10,12,15,20,25,30,35,40
2,0.8167,0.8442,0.8556,0.8614,0.8650,0.8691,0.8720,0.8731,0.8750,0.8773,0.8785,0.8793,0.8795,0.8795
3,0.8465,0.8809,0.8958,0.9042,0.9089,0.9155,0.9189,0.9213,0.9236,0.9267,0.9282,0.9294,0.9299,0.9303
4,0.8583,0.8966,0.9138,0.9242,0.9303,0.9381,0.9419,0.9444,0.9470,0.9499,0.9513,0.9523,0.9523,0.9525
5,0.8648,0.9056,0.9238,0.9379,0.9448,0.9535,0.9582,0.9611,0.9637,0.9672,0.9700,0.9707,0.9707,0.9711
6,0.8703,0.9122,0.9338,0.9468,0.9554,0.9654,0.9705,0.9737,0.9776,0.9813,0.9831,0.9853,0.9863,0.9857
8,0.8763,0.9217,0.9446,0.9599,0.9694,0.9817,0.9878,0.9919,0.9967,1.0018,1.0045,1.0059,1.0075,1.0075
10,0.8811,0.9278,0.9513,0.9680,0.9786,0.9921,1.0000,1.0053,1.0098,1.0163,1.0202,1.0216,1.0228,1.0230
12,0.8838,0.9322,0.9570,0.9735,0.9857,1.0004,1.0092,1.0147,1.0198,1.0267,1.0310,1.0328,1.0342,1.0346
15,0.8871,0.9365,0.9605,0.9792,0.9912,1.0071,1.0151,1.0230,1.0299,1.0377,1.0426,1.0456,1.0469,1.0469
20,0.8901,0.9412,0.9654,0.9843,0.9974,1.0145,1.0236,1.0324,1.0391,1.0489,1.0552,1.0583,1.0605,1.0605
25,0.8924,0.9440,0.9682,0.9859,1.0004,1.0177,1.0291,1.0373,1.0450,1.0562,1.0636,1.0668,1.0682,1.0693
30,0.8942,0.9462,0.9705,0.9898,1.0041,1.0220,1.0342,1.0424,1.0505,1.0636,1.0705,1.0746,1.0764,1.0776
35,0.8958,0.9484,0.9721,0.9921,1.0061,1.0247,1.0377,1.0458,1.0550,1.0674,1.0748,1.0786,1.0819,1.0813
40,0.8970,0.9494,0.9737,0.9925,1.0069,1.0261,1.0381,1.0469,1.0566,1.0683,1.0758,1.0799,1.0827,1.0833
























