#
# Output factor table for 6MV (Kotka, TrueBeam SN:1219)
#
%VERSION 03
%DATE 01-05-2011
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
2,3,4,5,6,8,10,12,15,20,25,30,35,40
2,0.8378,0.8527,0.8604,0.8659,0.8701,0.8756,0.8791,0.8811,0.8836,0.8870,0.8887,0.8895,0.8902,0.8913
3,0.8534,0.8725,0.8839,0.8925,0.8987,0.9064,0.9112,0.9141,0.9180,0.9225,0.9256,0.9266,0.9276,0.9280
4,0.8628,0.8846,0.9003,0.9101,0.9171,0.9260,0.9305,0.9350,0.9382,0.9420,0.9445,0.9456,0.9464,0.9469
5,0.8693,0.8936,0.9107,0.9222,0.9303,0.9413,0.9475,0.9518,0.9560,0.9611,0.9660,0.9690,0.9711,0.9717
6,0.8737,0.9012,0.9252,0.9375,0.9471,0.9592,0.9666,0.9726,0.9766,0.9824,0.9860,0.9879,0.9885,0.9894
8,0.8817,0.9116,0.9373,0.9524,0.9637,0.9781,0.9868,0.9934,0.9996,1.0074,1.0119,1.0140,1.0142,1.0155
10,0.8865,0.9189,0.9452,0.9609,0.9732,0.9896,1.0000,1.0077,1.0157,1.0244,1.0298,1.0327,1.0340,1.0351
12,0.8891,0.9237,0.9498,0.9675,0.9802,0.9985,1.0100,1.0185,1.0272,1.0376,1.0434,1.0468,1.0489,1.0497
15,0.8925,0.9281,0.9547,0.9730,0.9870,1.0066,1.0196,1.0293,1.0391,1.0514,1.0584,1.0625,1.0650,1.0665
20,0.8968,0.9338,0.9598,0.9794,0.9938,1.0155,1.0300,1.0406,1.0521,1.0670,1.0757,1.0808,1.0842,1.0854
25,0.8993,0.9372,0.9632,0.9834,0.9983,1.0208,1.0357,1.0472,1.0599,1.0763,1.0861,1.0920,1.0959,1.0973
30,0.9012,0.9397,0.9651,0.9855,1.0017,1.0251,1.0412,1.0533,1.0670,1.0835,1.0952,1.1016,1.1061,1.1078
35,0.9031,0.9419,0.9671,0.9877,1.0038,1.0278,1.0442,1.0574,1.0712,1.0895,1.1007,1.1078,1.1120,1.1135
40,0.9038,0.9432,0.9679,0.9885,1.0047,1.0287,1.0453,1.0582,1.0725,1.0912,1.1024,1.1090,1.1133,1.1148

























































