#
# Output factor table for 6MV-FFF (Kotka, TrueBeam SN:1219)
#
%VERSION 03
%DATE 01-05-2011
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
2,3,4,5,6,8,10,12,15,20,25,30,35,40
2,0.8543,0.8676,0.8771,0.8825,0.8866,0.8915,0.8937,0.8963,0.8985,0.9016,0.9017,0.9033,0.9040,0.9029
3,0.8705,0.8899,0.9013,0.9092,0.9156,0.9223,0.9274,0.9304,0.9338,0.9377,0.9391,0.9399,0.9422,0.9418
4,0.8789,0.9022,0.9179,0.9269,0.9331,0.9412,0.9450,0.9478,0.9498,0.9531,0.9557,0.9560,0.9566,0.9557
5,0.8858,0.9109,0.9276,0.9386,0.9467,0.9555,0.9610,0.9628,0.9665,0.9714,0.9714,0.9742,0.9740,0.9738
6,0.8907,0.9169,0.9344,0.9461,0.9553,0.9663,0.9727,0.9760,0.9804,0.9850,0.9863,0.9881,0.9897,0.9875
8,0.8967,0.9262,0.9445,0.9584,0.9668,0.9811,0.9892,0.9936,0.9991,1.0044,1.0068,1.0090,1.0101,1.0117
10,0.8998,0.9326,0.9507,0.9646,0.9751,0.9903,1.0000,1.0053,1.0121,1.0185,1.0231,1.0251,1.0260,1.0253
12,0.9027,0.9366,0.9540,0.9703,0.9804,0.9943,1.0057,1.0141,1.0196,1.0271,1.0324,1.0361,1.0368,1.0368
15,0.9065,0.9410,0.9582,0.9740,0.9850,1.0031,1.0123,1.0205,1.0288,1.0383,1.0432,1.0465,1.0482,1.0482
20,0.9095,0.9450,0.9619,0.9775,0.9905,1.0079,1.0200,1.0288,1.0381,1.0500,1.0561,1.0592,1.0608,1.0610
25,0.9109,0.9473,0.9628,0.9793,0.9941,1.0117,1.0236,1.0328,1.0432,1.0557,1.0630,1.0652,1.0678,1.0696
30,0.9125,0.9480,0.9659,0.9819,0.9941,1.0148,1.0271,1.0361,1.0480,1.0592,1.0669,1.0727,1.0731,1.0749
35,0.9142,0.9516,0.9648,0.9824,0.9960,1.0154,1.0284,1.0372,1.0498,1.0623,1.0707,1.0740,1.0768,1.0768
40,0.9141,0.9503,0.9665,0.9828,0.9956,1.0150,1.0291,1.0392,1.0495,1.0630,1.0702,1.0746,1.0784,1.0790
